Département,Numéro Circonscription,Numéro Panneau,Nom,Prénom,Civilité,Nuance Ministère,Nuance agrégée par Le Monde,Parti agrégé par Le Monde
074,04,13,DAHMAL,Vanessa,Mme,ECO,Anim.,Parti animaliste
074,04,11,GIRAUD,Romain,M.,DXG,POID,Parti ouvrier indépendant démocratique
074,04,4,YILDIRIM,Murat,M.,DIV,UDMF,Union des démocrates musulmans français
074,04,7,FERRANDI,Lea,Mme,REG,rég.-RPS,régionalistes
074,04,10,VERVOORT,Valérian,M.,NUP,LFI-Nupes,La France insoumise
074,04,1,BOUVIER,Shan,M.,ECO,écol.,divers écologistes
074,05,5,TERRENI,Jessica,Mme,RN,RN,Rassemblement national
074,05,9,MARTIN-COCHER,Odile,Mme,NUP,LFI-Nupes,La France insoumise
074,05,3,VICO,Céline,Mme,REC,Rec.,Reconquête !
074,05,11,BALLY,Michelle,Mme,DXG,LO,Lutte ouvrière
074,05,12,VIOLLAND,Anne-Cécile,Mme,ENS,Hor.-Ensemble,Horizons
074,05,8,BOUREL,Michel,M.,DVD,div.,divers inclassable
074,05,4,CAPELLI,Audrey,Mme,ECO,Anim.,Parti animaliste
074,05,7,DUVOCELLE,Quentin,M.,ECO,écol.,divers écologistes
074,05,10,MESSIN,Michelle,Mme,DSV,DLF,Debout la France
074,05,2,DUCROT,Guillaume,M.,DVD,LR dis.,dissident Les Républicains
074,05,6,LEMMO GAUD,Barbara,Mme,REG,rég.-RPS,régionalistes
074,05,1,DION,Sophie,Mme,LR,LR,Les Républicains
074,06,11,CHANTELOT,Xavier,M.,LR,LR,Les Républicains
074,06,10,PLUMIER,Noémie,Mme,ECO,Anim.,Parti animaliste
074,06,6,MARTIN,Dominique,M.,RN,RN,Rassemblement national
074,06,9,MÉNY,Laurence,Mme,DSV,Pat.,Les Patriotes
074,06,12,SOCQUET-JUGLARD,Sylvain,M.,ECO,écol.,divers écologistes
074,06,7,LOUNIS,Ahmed,M.,NUP,LFI-Nupes,La France insoumise
074,06,1,DUVILLARD,Virginie,Mme,REC,Rec.,Reconquête !
074,06,4,DUGERDIL,Valérie,Mme,REG,souv.,divers souverainistes
074,06,8,DEMEURE,Alexandre,M.,DXG,LO,Lutte ouvrière
074,06,2,LAGARDE,Stéphane,M.,ECO,EELV dis.,dissident EELV hors accord Nupes
074,06,5,PRATS,Charles,M.,UDI,UDI,Union des démocrates et indépendants
074,06,3,ROSEREN,Xavier,M.,ENS,LRM-Ensemble,La République en marche
075,01,6,BALADI,Vincent,M.,LR,LR,Les Républicains
075,01,3,BOULINIER,Laurence,Mme,DXG,LO,Lutte ouvrière
075,01,4,TOURTE,Dominique,Mme,DVG,PCF,Parti communiste français
075,01,1,DELWASSE,Liliane,Mme,ECO,Anim.,Parti animaliste
075,01,5,MAILLARD,Sylvain,M.,ENS,LRM-Ensemble,La République en marche
075,01,2,CHEDHOMME,Morgane,Mme,RN,RN,Rassemblement national
075,01,8,ATTIA,David,M.,REC,Rec.,Reconquête !
075,01,9,FAUX,Juliane,Mme,REG,rég.,régionalistes
075,01,10,LECUYER,Catherine,Mme,DVD,div. d.,divers droite
075,01,12,PARIS,Annie,Mme,DVG,FGR,Fédération de la gauche républicaine
075,01,11,LUQUET,Thomas,M.,NUP,LFI-Nupes,La France insoumise
075,01,7,CHAUMETTE,Manon,Mme,UDI,UDI,Union des démocrates et indépendants
075,02,2,LECOQ,Jean-Pierre,M.,LR,LR,Les Républicains
075,02,7,FRANTZ,Adrien,M.,DXG,POID,Parti ouvrier indépendant démocratique
075,02,9,LE GENDRE,Gilles,M.,ENS,LRM-Ensemble,La République en marche
075,02,8,ROUGÉ,André,M.,RN,RN,Rassemblement national
075,02,10,DREYFUSS,Karine,Mme,ECO,Anim.,Parti animaliste
075,02,3,ASSAYAG,Daniel,M.,DIV,Pirate,Parti Pirate
075,02,4,GILBERT,Isabelle,Mme,REC,Rec.,Reconquête !
075,02,5,DE VILLEPIN,Quitterie,Mme,DIV,div.,divers inclassable
075,02,6,JOLIVEAU,Charline,Mme,DXG,LO,Lutte ouvrière
