Commune Inscrits Abstentions Votants Blancs Nuls Exprimés
Saint-Félix-de-Rieutord 258 1 01 13 386 386 252 134 2 1 131 4 21 2 54 31 1 18
Saint-Jean-d'Aigues-Vives 262 1 01 09 323 323 179 144 9 2 133 3 19 7 38 53 2 11
Saint-Jean-du-Castillonnais 263 1 01 04 38 38 19 19 0 0 19 5 3 0 4 4 2 1
Saint-Jean-de-Verges 264 1 01 13 840 868 600 268 8 4 256 5 63 12 69 69 9 29
Saint-Lary 267 1 01 04 148 147 92 55 3 2 50 0 8 1 17 22 0 2
Saint-Martin-de-Caralp 269 1 01 13 298 298 166 132 4 1 127 4 55 2 12 44 0 10
Saint-Paul-de-Jarrat 272 1 01 12 1038 1040 593 447 13 3 431 10 119 14 118 101 8 61
Saint-Pierre-de-Riviére 273 1 01 05 565 567 310 257 6 5 246 3 96 8 38 76 3 22
Salsein 279 1 01 04 58 58 26 32 1 0 31 1 2 0 4 15 1 8
Saurat 280 1 01 12 540 538 308 230 4 1 225 5 91 5 38 56 1 29
Saurat 280 2 01 12 107 107 61 46 0 0 46 0 23 1 4 9 3 6
Sautel 281 1 01 09 105 105 50 55 0 1 54 2 20 3 20 7 0 2
Savignac-les-Ormeaux 283 1 01 01 313 313 164 149 3 1 145 3 27 2 45 51 1 16
Ségura 284 1 01 13 149 148 83 65 2 0 63 1 16 4 18 20 0 4
Seix 285 1 01 03 669 676 384 292 5 3 284 3 122 2 58 65 4 30
Senconac 287 1 01 01 13 13 5 8 0 0 8 0 6 0 1 0 0 1
Sentein 290 1 01 04 123 121 68 53 0 1 52 1 14 1 6 23 4 3
Sentein 290 2 01 04 58 58 23 35 1 0 34 0 19 0 5 6 1 3
Sentenac-d'Oust 291 1 01 03 126 126 67 59 2 0 57 1 23 0 20 7 0 6
Sentenac-de-Sérou 292 1 01 03 45 45 26 19 1 0 18 2 9 1 4 1 0 1
Serres-sur-Arget 293 1 01 13 668 668 381 287 7 5 275 6 104 21 44 62 15 23
Siguer 295 1 01 12 153 159 89 70 1 0 69 0 18 1 24 18 1 7
Aulos-Sinsat 296 1 01 01 103 103 59 44 1 0 43 0 4 1 11 14 9 4
Aulos-Sinsat 296 2 01 01 44 44 27 17 2 1 14 1 1 0 5 1 2 4
Sor 297 1 01 04 30 30 13 17 0 0 17 0 6 0 5 5 0 1
Sorgeat 298 1 01 01 78 78 40 38 1 2 35 1 12 0 6 14 0 2
Soueix-Rogalle 299 1 01 03 352 352 216 136 4 1 131 1 45 3 25 45 1 11
Soula 300 1 01 09 162 162 83 79 3 2 74 2 33 1 19 10 1 8
Soulan 301 1 01 03 343 342 228 114 1 1 112 3 54 2 13 33 1 6
Surba 303 1 01 12 336 335 207 128 4 4 120 0 23 9 50 23 3 12
Suzan 304 1 01 03 29 28 10 18 0 0 18 0 8 1 5 3 0 1
Tarascon-sur-Ariége 306 1 01 12 945 944 578 366 4 5 357 9 59 7 115 111 6 50
Tarascon-sur-Ariége 306 2 01 12 906 905 551 354 9 6 339 7 75 8 110 97 11 31
Tarascon-sur-Ariége 306 3 01 12 108 108 55 53 2 2 49 0 18 0 17 10 2 2
Tignac 311 1 01 01 34 34 18 16 0 0 16 0 5 0 0 9 0 2
Unac 318 1 01 01 104 104 53 51 4 1 46 0 15 1 10 16 2 2
Urs 320 1 01 01 36 38 21 17 1 0 16 0 3 0 7 6 0 0
Ussat 321 1 01 01 247 247 126 121 8 6 107 2 20 3 39 23 6 14
Ustou 322 1 01 03 341 341 207 134 2 1 131 1 31 2 37 52 0 8
Varilhes 324 1 01 13 892 892 638 254 9 1 244 9 61 8 84 49 2 31
Varilhes 324 2 01 13 519 519 350 169 5 6 158 6 51 4 40 31 2 24
Varilhes 324 3 01 13 610 609 440 169 5 1 163 6 33 3 43 55 1 22
Varilhes 324 4 01 13 675 675 437 238 13 6 219 2 57 7 68 58 4 23
Vaychis 325 1 01 01 45 45 19 26 1 0 25 0 3 0 8 10 1 3
Vébre 326 1 01 01 146 146 84 62 1 2 59 0 12 1 19 19 3 5
Ventenac 327 1 01 13 193 193 117 76 1 1 74 2 26 3 23 6 3 11
Verdun 328 1 01 01 192 193 88 105 6 0 99 0 28 6 16 26 13 10
Vernajoul 329 1 01 13 546 547 293 254 8 8 238 3 56 6 68 72 3 30
Vernaux 330 1 01 01 40 40 21 19 2 0 17 1 9 0 3 1 1 2
Verniolle 332 1 01 13 894 893 600 293 1 4 288 4 79 12 66 85 4 38
Verniolle 332 2 01 13 930 930 669 261 2 7 252 3 90 18 66 48 8 19
Val-de-Sos 334 1 01 12 573 572 352 220 6 6 208 11 65 5 33 63 6 25
Villeneuve 335 1 01 04 46 46 25 21 1 0 20 1 5 0 0 12 0 2
Villeneuve-d'Olmes 336 1 01 09 825 826 498 328 10 5 313 7 77 4 148 44 3 30
Vira 340 1 01 13 135 134 79 55 4 0 51 0 15 0 14 16 1 5
